OOdist,OHOangle,E_hartree,E_kcalmol,E_kcalmol_scaled
2.5,116.5,-152.86693830000002,-95924.00378325001,-2.2283930054476286
2.5,116.6,-152.86695938333335,-95924.01701304168,-2.2416227971165625
2.5,116.7,-152.86698046666666,-95924.03024283332,-2.254852588767662
2.5,116.8,-152.86700155,-95924.043472625,-2.2680823804365957
2.5,116.9,-152.86702263333333,-95924.05670241667,-2.2813121721055296
2.5,117.0,-152.86704371666667,-95924.06993220834,-2.2945419637744635
2.5,117.1,-152.8670648,-95924.08316200001,-2.3077717554433974
2.5,117.2,-152.86708588333335,-95924.09639179168,-2.3210015471123313
2.5,117.3,-152.86710696666665,-95924.10962158332,-2.3342313387634306
2.5,117.4,-152.86712805,-95924.122851375,-2.3474611304323645
2.5,117.5,-152.86714913333333,-95924.13608116667,-2.3606909221012984
2.5,117.6,-152.86717026666668,-95924.14934233334,-2.373952088777287
2.5,117.7,-152.8671916,-95924.162729,-2.3873387554458247
2.5,117.8,-152.86721293333332,-95924.17611566666,-2.400725422096528
2.5,117.9,-152.86723426666666,-95924.18950233332,-2.4141120887650658
2.5,118.0,-152.8672556,-95924.202889,-2.4274987554336036
2.5,118.1,-152.86727693333333,-95924.21627566667,-2.4408854221021414
2.5,118.2,-152.86729826666667,-95924.22966233334,-2.4542720887706793
2.5,118.3,-152.8673196,-95924.243049,-2.467658755439217
2.5,118.4,-152.86734093333334,-95924.25643566667,-2.481045422107755
2.5,118.5,-152.86736226666667,-95924.26982233334,-2.4944320887762927
2.5,118.6,-152.8673836,-95924.283209,-2.5078187554448306
2.5,118.7,-152.86740493333335,-95924.29659566667,-2.5212054221133684
2.5,118.8,-152.86742637704918,-95924.31005159837,-2.5346613538015106
2.5,118.9,-152.86744826229508,-95924.32378459016,-2.5483943456037395
2.5,119.0,-152.86747014754098,-95924.33751758197,-2.5621273374059683
2.5,119.1,-152.86749203278688,-95924.35125057377,-2.575860329208197
2.5,119.2,-152.86751391803278,-95924.36498356557,-2.589593321010426
2.5,119.3,-152.86753580327868,-95924.37871655737,-2.603326312812655
2.5,119.4,-152.8675576885246,-95924.3924495492,-2.6170593046327184
2.5,119.5,-152.8675795737705,-95924.406182541,-2.6307922964349473
2.5,119.6,-152.8676014590164,-95924.4199155328,-2.644525288237176
2.5,119.7,-152.8676233442623,-95924.4336485246,-2.658258280039405
2.5,119.8,-152.8676452295082,-95924.44738151641,-2.671991271841634
2.5,119.9,-152.8676671147541,-95924.4611145082,-2.6857242636438627
2.5,120.0,-152.867689,-95924.47484750001,-2.6994572554460916
2.5,120.1,-152.8677115,-95924.48896625,-2.7135760054461144
2.5,120.2,-152.867734,-95924.503085,-2.7276947554461373
2.5,120.3,-152.8677565,-95924.51720375,-2.74181350544616
2.5,120.4,-152.867779,-95924.53132250001,-2.755932255446183
2.5,120.5,-152.8678015,-95924.54544125001,-2.7700510054462057
2.5,120.6,-152.867824,-95924.55956000001,-2.7841697554462286
